Username,Repo_Name,Stars,Repo_url
ccxt,ccxt,31800,https://github.com/ccxt/ccxt
python-telegram-bot,python-telegram-bot,25300,https://github.com/python-telegram-bot/python-telegram-bot
discordjs,discord.js,25000,https://github.com/discordjs/discord.js
wechaty,wechaty,19500,https://github.com/wechaty/wechaty
RasaHQ,rasa,18200,https://github.com/RasaHQ/rasa
hubotio,hubot,16600,https://github.com/hubotio/hubot
InstaPy,InstaPy,16500,https://github.com/InstaPy/InstaPy
leon-ai,leon,14900,https://github.com/leon-ai/leon
Rapptz,discord.py,14500,https://github.com/Rapptz/discord.py
pedroslopez,whatsapp-web.js,14100,https://github.com/pedroslopez/whatsapp-web.js
tgbot-collection,YYeTsBot,14000,https://github.com/tgbot-collection/YYeTsBot
gunthercox,ChatterBot,14000,https://github.com/gunthercox/ChatterBot
lss233,chatgpt-mirai-qq-bot,12500,https://github.com/lss233/chatgpt-mirai-qq-bot
howdyai,botkit,11400,https://github.com/howdyai/botkit
Mrs4s,go-cqhttp,10300,https://github.com/Mrs4s/go-cqhttp
sfyc23,EverydayWechat,9900,https://github.com/sfyc23/EverydayWechat
yagop,node-telegram-bot-api,8100,https://github.com/yagop/node-telegram-bot-api
telegraf,telegraf,7900,https://github.com/telegraf/telegraf
microsoft,ailab,7700,https://github.com/microsoft/ailab
microsoft,botframework-sdk,7400,https://github.com/microsoft/botframework-sdk
